robinson_0m0p2m8__16.p,210
robinson_0m1m1p6__6.p,69
robinson_0m1m2p2__2.p,36
robinson_0m1m8p7__7.p,138
robinson_0m1p2m8__16.p,250
robinson_0m1p7p7__14.p,134
robinson_0m2m5p8__8.p,117
robinson_0m2p2m4__8.p,191
robinson_0m2p3m9__27.p,464
robinson_0m3p8m2__16.p,224
robinson_0m3p8p5__13.p,127
robinson_0m4p2p3__5.p,88
robinson_0m4p7p6__13.p,116
robinson_0m4p9p2__11.p,113
robinson_0m4p9p8__17.p,130
robinson_0m5m5p7__7.p,188
robinson_0m5m5p8__8.p,191
robinson_0m6p1m2__2.p,152
robinson_0m6p2m9__18.p,689
robinson_0m6p9m2__18.p,343
robinson_0m6p9m7__63.p,1267
robinson_0m7m0p1__1.p,13
robinson_0m7m0p7__7.p,78
robinson_0m7p5m8__40.p,1074
robinson_0m7p5p1__6.p,86
robinson_0m7p6m5__30.p,761
robinson_0m7p6p8__14.p,111
robinson_0m7p9p0__9.p,92
robinson_0m8m5p9__9.p,307
robinson_0m8p1m1__1.p,90
robinson_0m8p1m6__6.p,445
robinson_0m8p4p1__5.p,86
robinson_0m9m8p3__3.p,416
robinson_0m9p1m6__6.p,484
robinson_0p0m1m8__0.p,114
robinson_0p0m4m5__0.p,184
robinson_0p0p5m9__45.p,445
robinson_0p0p6m7__42.p,461
robinson_0p2m5m5__50.p,933
robinson_0p2p1m5__15.p,223
robinson_0p2p6m8__64.p,598
robinson_0p2p6p5__13.p,121
robinson_0p3m7p5__26.p,268
robinson_0p3p2p5__10.p,110
robinson_0p3p4m4__28.p,310
robinson_0p4m0p9__9.p,91
robinson_0p4m1p4__8.p,134
robinson_2p4p3m9__81.p,624
robinson_2p4p4p9__19.p,175
robinson_2p5m1p1__8.p,171
robinson_2p5p8m0__0.p,2
robinson_2p5p9m4__64.p,588
robinson_2p6m0m4__0.p,35
robinson_2p6p2p1__11.p,119
robinson_2p6p6m4__56.p,489
robinson_2p7m1m7__63.p,1013
robinson_2p7m1p4__13.p,191
robinson_2p8m2m3__60.p,976
robinson_2p8m6p0__60.p,491
robinson_2p8p2m5__60.p,503
robinson_2p8p3p1__14.p,130
robinson_2p8p4m0__0.p,2
robinson_2p8p4p2__16.p,169
robinson_2p8p4p6__20.p,181
robinson_2p8p4p7__21.p,184
robinson_2p8p5m7__105.p,886
robinson_2p8p7m0__0.p,2
robinson_2p8p7p8__25.p,193
robinson_2p9p3p6__20.p,204
robinson_2p9p7p8__26.p,188
robinson_2p9p8m1__19.p,344
robinson_3m0m0p0__0.p,9
robinson_3m0p3m3__9.p,126
robinson_3m1m0m8__0.p,67
robinson_3m1m1m8__24.p,546
robinson_3m1m1m9__27.p,610
robinson_3m1m7p1__22.p,240
robinson_3m1m9p2__29.p,297
robinson_3m1p6p2__11.p,136
robinson_3m1p7m3__30.p,367
robinson_3m2p4p2__12.p,128
robinson_3m2p4p3__13.p,133
robinson_3m2p4p9__19.p,199
robinson_3m2p6m2__24.p,351
robinson_3m2p7p9__22.p,238
robinson_3m2p9p7__22.p,189
robinson_3m2p9p9__24.p,250
robinson_3m3m8m1__72.p,1263
robinson_3m4m3p4__40.p,506
robinson_3m4m6m1__72.p,1401
robinson_3m4p1m4__52.p,774
robinson_3m4p3m1__15.p,229
robinson_3m5m2p7__37.p,466
robinson_3m5m5p3__78.p,1064
robinson_3m5p0m5__75.p,1082
robinson_3m5p2p1__18.p,190
robinson_3m6p3p5__26.p,266
robinson_3m7m0m0__0.p,2
robinson_3m7m2m0__0.p,2
robinson_3m7p2p4__27.p,319
robinson_3m7p5p3__29.p,210
robinson_3m8m1p5__29.p,416
robinson_3m8m9m0__0.p,2
robinson_3m9p3p8__38.p,334
robinson_3p0m0m9__0.p,76
robinson_3p0m5m2__30.p,461
robinson_3p0m6m1__18.p,296
robinson_3p0p2p7__12.p,112
robinson_3p1m1p0__4.p,62
robinson_3p1m5p1__21.p,206
robinson_3p1p0p0__4.p,26
robinson_3p1p2p7__13.p,118
robinson_3p1p3m7__49.p,402
robinson_3p1p8m5__60.p,484
robinson_3p2m1p2__7.p,129
robinson_3p2m4p7__27.p,227
robinson_3p2m7m0__0.p,2
robinson_3p2m7p1__36.p,292
robinson_3p2m8p2__42.p,339
robinson_3p2m9m0__0.p,2
robinson_3p2p1p2__8.p,81
robinson_3p2p4p2__11.p,113
robinson_3p3m1m5__30.p,438
robinson_3p3m8p8__56.p,362
robinson_3p3p9p5__20.p,174
robinson_3p4m7p9__58.p,369
robinson_3p4p5m0__0.p,2
robinson_3p4p9p5__21.p,175
robinson_3p5m5p4__44.p,321
robinson_3p5m7p6__62.p,415
robinson_3p5p0p9__17.p,167
robinson_3p5p8p3__19.p,182
robinson_3p6m2p6__24.p,235
robinson_3p6m8p8__80.p,514
robinson_3p6p2m6__66.p,506
robinson_3p6p3m1__12.p,284
robinson_3p6p4p6__19.p,183
robinson_3p7m2m4__80.p,1310
robinson_3p7p0p5__15.p,162
robinson_3p7p2p1__13.p,124
robinson_3p7p4m3__42.p,397
robinson_3p7p6m7__112.p,917
robinson_3p7p6p1__17.p,171
robinson_3p8m0m6__0.p,58
robinson_3p8m4p8__52.p,378
robinson_3p8m9p8__107.p,689
robinson_3p8p1p2__14.p,167
robinson_3p8p2m7__91.p,700
robinson_3p8p2m8__104.p,810
robinson_3p9m2m1__24.p,395
robinson_3p9m5m1__60.p,818
robinson_4m0m1p1__1.p,22
robinson_4m0m3p8__8.p,73
robinson_4m0m6m0__0.p,2
robinson_4m0p4m3__12.p,141
robinson_4m0p4p1__5.p,58
robinson_4m0p4p3__7.p,84
robinson_4m0p5p7__12.p,124
robinson_4m0p7p4__11.p,124
robinson_4m0p8m5__40.p,366
robinson_4m0p9m6__54.p,556
robinson_4m1m1p2__6.p,94
robinson_4m1p8p2__14.p,150
robinson_4m2m1m6__48.p,978
robinson_4m2m4p9__41.p,407
robinson_4m2p5p0__13.p,147
robinson_4m2p5p8__21.p,191
