robinson_9p1p5m1__15.p,81
robinson_5m6m0m8__0.p,50
robinson_0p0m1m8__0.p,102
robinson_6m1p7p0__13.p,49
robinson_7p3m0m9__0.p,56
robinson_4m0p4m3__12.p,104
robinson_4m0p4p1__5.p,21
robinson_7p9m0m5__0.p,32
robinson_1p3p1p1__6.p,21
robinson_1m5p9p0__14.p,68
robinson_4m0p4p3__7.p,27
robinson_3m7p2p4__27.p,115
robinson_9m6p1p3__58.p,204
robinson_0m0p2m8__16.p,159
robinson_1m6p1p2__9.p,57
robinson_4m0p5p7__12.p,42
robinson_2m0m2m5__0.p,100
robinson_4m0p7p4__11.p,39
robinson_0p0m4m5__0.p,168
robinson_8m5p3m1__43.p,353
robinson_3m1m9p2__29.p,261
robinson_1m6p3p9__18.p,84
robinson_2m0m8p1__1.p,55
robinson_0p8p2m4__40.p,306
robinson_2m0p0m2__0.p,20
robinson_2p4p2m4__32.p,218
robinson_2m0p0m3__0.p,28
robinson_1m6p4p4__14.p,72
robinson_2m0p6p0__6.p,24
robinson_9m6p3p5__62.p,216
robinson_2m0p8p4__12.p,42
robinson_7m0p6m7__42.p,336
robinson_1m6p6p5__17.p,81
robinson_7m6m1p9__51.p,379
robinson_2m0p8p6__14.p,48
robinson_7m0p7p7__14.p,48
robinson_6p4m7p3__73.p,343
robinson_5p3p8m5__80.p,491
robinson_0p0p5m9__45.p,361
robinson_9m7p7p3__73.p,253
robinson_8p8m5p5__85.p,428
robinson_4m0p8m5__40.p,324
robinson_8p8p1p7__24.p,54
robinson_4p9m7p7__98.p,564
robinson_8p8p7p8__31.p,75
robinson_4p2m2m8__96.p,1017
robinson_6p4m8p8__88.p,404
robinson_0p0p6m7__42.p,335
robinson_8p9m2p1__35.p,188
robinson_6p4p6p6__22.p,54
robinson_2p4p3m9__81.p,542
robinson_2m1m2m8__32.p,607
robinson_2p4p4p9__19.p,57
robinson_4p2m5p4__34.p,160
robinson_2p5m1p1__8.p,54
robinson_4m0p9m6__54.p,440
robinson_4m1m1p2__6.p,52
robinson_4m1p8p2__14.p,52
robinson_3m7p4m4__100.p,1196
robinson_4p9m8p5__109.p,637
robinson_3m7p5p3__29.p,121
robinson_0p9m2m4__72.p,967
robinson_2m1p8m4__40.p,369
robinson_2m1p8p3__13.p,49
robinson_7p3m3m4__120.p,1210
robinson_2m2m4p6__22.p,198
