robinson_4p4p4p6__3p4m2p4.p,252
robinson_9p4p4p7__4m2p8p8.p,261
robinson_8p2p9p2__8p4p2p7.p,182
robinson_2p2p7p4__2p8p3p2.p,184
robinson_3p9p5p2__8p4p2p5.p,223
robinson_6p7p4p3__8p2p2p8.p,192
robinson_2p7p6p7__6p9p2p5.p,331
robinson_9p4p8p2__6p6p8p3.p,209
robinson_6p8p3p7__6m2p9p3.p,317
robinson_8p5p4p5__4p9p6p3.p,214
robinson_7p3p7p6__5p7p6p5.p,254
robinson_6p8p3p5__6p6p5p5.p,242
robinson_7p4p6p7__6p8p3p7.p,274
robinson_3m2p4p8__8p2p2p6.p,338
robinson_3p6p7p9__5p7p9p4.p,395
robinson_3p7p6p5__2m6p5p4.p,323
robinson_6p8p5p6__6p5m2p3.p,377
robinson_3m4p2p9__3p3m3p5.p,618
robinson_4p9p9p8__2p5m3p9.p,595
robinson_6p2m2p6__8p3p7p4.p,438
robinson_3m2m2p9__5p5p8p3.p,617
robinson_7p4p8p9__3m5p5p8.p,416
robinson_4m3p3p8__4p3m3p2.p,579
robinson_2p7p2p6__2m2m3p5.p,324
robinson_6p8p5p6__6p5m2p3.p,377
robinson_4m5p6p3__4p8p9p8.p,803
robinson_2m6p5p4__8m2p2p3.p,480
robinson_3p6p7p9__9p5p4p7.p,383
robinson_4p4p4p6__5p2p2p9.p,201
robinson_6m3p5p5__4m2p6m2.p,898
robinson_7p3p7p6__5p7p6p5.p,254
robinson_7m4p2p5__7m3p9p5.p,987
robinson_2p3p7p8__2p4p5p9.p,297
robinson_6p6p8p3__7p5p5p6.p,262
robinson_9p4p8p2__6p6p8p3.p,209
robinson_9p3p3p2__5p2p5p5.p,108
robinson_4m3p3p8__4p3m3p2.p,579
robinson_6p6p8m7__2m5m2m7.p,409
robinson_4p3m3p2__6p4p4p9.p,506
robinson_4m2p8p8__2m6p9p3.p,569
robinson_3p3m2p8__6m2p2p6.p,447
robinson_2m7p4p6__8p5p9p2.p,691
robinson_4p3p8p7__5p7p6p4.p,293
robinson_8p2p9p6__2p9p5p9.p,290
robinson_2p9p8p3__6p9p3p4.p,325
robinson_9m4p6p7__6p3m5p4.p,1835
robinson_6p7p7p4__6m2p9p3.p,315
robinson_5m3p5p6__4p5m2p8.p,678
robinson_5m6p8p6__6p8m3p2.p,1719
robinson_2p5m3p9__7m2p8p8.p,887
robinson_5m2p7m6__3p7p7m6.p,139
robinson_7m3p3p2__2p9p2m2.p,713
robinson_3p9p5p2__8p4p2p5.p,223
robinson_5p7p8p8__4p9p6p9.p,431
robinson_7p5p3p5__2p9p5p4.p,197
robinson_2p2p7p4__2p8p2p3.p,184
robinson_8p2p9p2__8m2p2p3.p,214
robinson_2p3m8p9__4m9p6p7.p,2127
robinson_7p6p3p5__5p3p7p6.p,207
robinson_2m4m4p8__6m5p7p3.p,1803
robinson_4p9p3p4__9p4p2p5.p,225
robinson_6p7p7p4__3p5p8p8.p,298
robinson_9p9p4p9__7p7p8p9.p,404
robinson_7p2m2m2__5p5p8m2.p,215
robinson_8p5p2p7__5p7p6p4.p,213
robinson_2m9p2p2__2p7p4p9.p,646
robinson_7m3p5p6__6p3m3p5.p,901
robinson_3p4m3p6__3m2p3m3.p,910
robinson_7m4p2p2__4p3p9m2.p,989
robinson_4p5m2p8__8p5p8p5.p,638
robinson_7p4p6p7__6p8p3p7.p,274
robinson_8p4m2p6__5m3p7p8.p,772
robinson_5p6p4p2__5p3p3p6.p,159
robinson_3p4m2p4__8p2p2p6.p,354
robinson_4p4m4p2__7p6m2p8.p,1054
robinson_2p3p7p8__2p4p5p9.p,297
robinson_7p4p8p9__4p9p6p9.p,384
robinson_5m2p3m2__7p5p9p5.p,867
robinson_6p8m3p2__3p2m7p9.p,1597
robinson_4m3p3p8__6p7p8p2.p,519
