binary_1m4m7m0__0.p,1
binary_1m4p3p7__14.p,43
binary_7m3p0p9__30.p,113
binary_1m5p8p5__18.p,57
binary_4p3p6p1__14.p,47
binary_5p8p6m0__0.p,1
binary_4m7p4m1__32.p,133
binary_5p0m1m6__30.p,87
binary_6p1p1p6__14.p,31
binary_5m4p2m1__22.p,107
binary_4m0p5m3__15.p,57
binary_1p1p6p1__9.p,25
binary_1m6m1m9__54.p,93
binary_3m2p8p7__21.p,117
binary_3m7p8p2__31.p,129
binary_4m0p9p4__13.p,23
binary_2p1p8p1__12.p,31
binary_8m5p6p4__50.p,199
binary_2p8m6p9__69.p,163
binary_5p0m1m7__35.p,123
binary_1m6m2p5__17.p,71
binary_8p7m6m1__90.p,149
binary_6p8p9p9__32.p,121
binary_6p9m0m0__0.p,1
binary_2p2m1m8__32.p,79
binary_0p8p3p5__16.p,47
binary_9p2m2m3__66.p,145
binary_4p8p6m2__36.p,81
binary_3p5m7p2__58.p,185
binary_1p7p6m7__98.p,215
binary_1p1p7m0__0.p,1
binary_4p4m1m1__8.p,17
binary_2m4p8m5__80.p,231
binary_6m4p7p0__31.p,105
binary_3m8m1m1__24.p,49
binary_4m7p4p7__39.p,185
binary_7p9p6m8__176.p,207
binary_9p7m2p4__36.p,101
binary_8m0m1p3__3.p,9
binary_3m3m2m2__36.p,145
binary_6p9p2m2__34.p,81
binary_8m0m3p2__2.p,11
binary_8m0p2p4__6.p,19
binary_8m0p3m0__0.p,1
binary_3p5p5m2__26.p,83
binary_9p2m2p0__22.p,47
binary_4m1m2p3__11.p,61
binary_2p2m1m9__36.p,101
binary_1p8m1m4__36.p,91
binary_5m4p9p4__33.p,199
binary_5m5m0p6__6.p,5
binary_6p9p5m1__20.p,61
binary_8p2p1m9__99.p,235
binary_2p8p2m9__108.p,191
binary_2p2m2p2__10.p,71
binary_1p8m3p0__27.p,63
binary_6p1p9m7__112.p,203
binary_8m0p5m4__20.p,89
binary_5p0m7p3__38.p,179
binary_9p7m3p3__51.p,141
binary_1p1p9m6__66.p,143
binary_8p2p5p6__21.p,61
binary_5p0p1p8__14.p,29
binary_2p8p7p4__21.p,67
binary_6p9p9p9__33.p,117
binary_1p1p9p3__14.p,41
binary_7m0m3m5__0.p,11
binary_7m0m7p3__3.p,11
binary_7m0m9m0__0.p,1
binary_7m0p1m7__7.p,11
binary_7m0p5p5__10.p,29
binary_9p2m3p3__36.p,137
binary_7m0p7p2__9.p,21
binary_4p9m2m7__182.p,257
binary_2p2m9p7__43.p,149
binary_6p2m2m6__96.p,147
binary_5p1m7p0__42.p,111
binary_6m4p8m8__256.p,249
binary_4p4m2p3__19.p,77
binary_2m4p9m5__85.p,281
binary_3p5p6m7__98.p,251
binary_1m6m4m9__216.p,279
binary_5p1p4m2__20.p,59
binary_6p2m2p8__24.p,87
binary_8p2p7m5__85.p,199
binary_8p2p8m0__0.p,1
binary_5p1p8p1__15.p,31
binary_7m0p8m9__72.p,129
binary_6m4p9m1__33.p,123
binary_2p2p4m8__64.p,133
binary_3p5p7m2__30.p,83
binary_2p3m0p3__3.p,5
binary_4m8p0m7__224.p,299
binary_7m0p8p9__17.p,29
binary_2p3m1p6__11.p,29
binary_8p3m1m3__33.p,87
binary_3m8m5p2__122.p,237
binary_7p4m5m6__330.p,483
binary_2m5m2m2__40.p,131
binary_7m1m2p1__15.p,53
binary_9p7m4m6__384.p,281
binary_4m1p5m6__54.p,119
