binary_2p22__24.p,17
binary_23p24__47.p,25
binary_1m27__27.p,1
binary_28p16__44.p,25
binary_21p24__45.p,25
binary_9p3__12.p,15
binary_11m0__0.p,1
binary_19p21__40.p,43
binary_11p24__35.p,25
binary_17p19__36.p,37
binary_17m12__204.p,131
binary_7p22__29.p,25
binary_10m10__100.p,145
binary_27m12__324.p,183
binary_9p22__31.p,21
binary_24p0__24.p,1
binary_23p3__26.p,19
binary_25m18__450.p,233
binary_18m15__270.p,225
binary_21p11__32.p,39
binary_28p16__44.p,25
binary_26m2__52.p,31
binary_22p3__25.p,15
binary_24p3__27.p,7
binary_0m9__0.p,1
binary_21m2__42.p,35
binary_2p29__31.p,9
binary_26m10__260.p,167
binary_29m14__406.p,223
binary_0p17__17.p,1
binary_1p19__20.p,11
binary_0p8__8.p,1
binary_17m7__119.p,139
binary_25p25__50.p,35
binary_4p5__9.p,13
binary_8m8__64.p,95
binary_0p21__21.p,1
binary_3p25__28.p,19
binary_24p17__41.p,25
binary_5p29__34.p,29
binary_7p7__14.p,23
binary_18p2__20.p,11
binary_3m20__60.p,67
binary_19p20__39.p,25
binary_3m8__24.p,49
binary_15m25__375.p,273
binary_26p27__53.p,35
binary_26p18__44.p,31
binary_12m28__336.p,119
binary_10m24__240.p,125
binary_22m18__396.p,239
binary_24p23__47.p,25
binary_16m9__144.p,133
binary_24p2__26.p,7
binary_2m3__6.p,31
binary_24m20__480.p,145
binary_24m23__552.p,253
binary_13m4__52.p,81
binary_19p4__23.p,13
binary_22p29__51.p,35
binary_21m29__609.p,395
binary_15p10__25.p,29
binary_22m26__572.p,243
binary_20m15__300.p,213
binary_28m14__392.p,169
binary_28p2__30.p,7
binary_11p2__13.p,11
binary_7m7__49.p,157
binary_26m8__208.p,113
binary_17p27__44.p,37
binary_19p9__28.p,31
binary_4p7__11.p,13
binary_20p13__33.p,27
binary_4m4__16.p,63
binary_29p21__50.p,41
binary_4p23__27.p,19
binary_9m27__243.p,229
binary_14p15__29.p,29
binary_4m28__112.p,63
binary_3m3__9.p,45
binary_8m23__184.p,135
binary_6m16__96.p,81
binary_10m11__110.p,173
binary_4p18__22.p,15
binary_12p5__17.p,17
binary_14p28__42.p,31
binary_3p13__16.p,23
binary_22m18__396.p,239
binary_29m26__754.p,293
binary_28m23__644.p,359
binary_20m16__320.p,145
binary_8p15__23.p,19
binary_21m24__504.p,195
binary_17p25__42.p,31
binary_0m15__0.p,1
binary_26m8__208.p,113
binary_19p14__33.p,33
binary_5m8__40.p,93
binary_15m11__165.p,317
binary_12p5__17.p,17
binary_12p10__22.p,19
binary_15m2__30.p,35
binary_7p3__10.p,15
binary_7p27__34.p,35
binary_15p24__39.p,25
binary_14p3__17.p,15
binary_11p2__13.p,11
binary_29p5__34.p,27
binary_12m2__24.p,31
binary_0p1__1.p,1
binary_19p4__23.p,13
binary_21m19__399.p,335
binary_9p18__27.p,21
binary_25m0__0.p,1
binary_14p18__32.p,37
binary_29p20__49.p,35
binary_11m5__55.p,125
binary_23p11__34.p,39
binary_18p12__30.p,19
binary_27p0__27.p,1
binary_19p6__25.p,21
binary_12p18__30.p,21
binary_25p15__40.p,39
binary_14m5__70.p,99
binary_21m23__483.p,441
binary_3m22__66.p,81
binary_17m5__85.p,123
binary_0p6__6.p,1
binary_23p23__46.p,43
binary_28m21__588.p,261
binary_7p29__36.p,35
binary_3p13__16.p,23
binary_8m1__8.p,1
binary_21p18__39.p,25
binary_3m3__9.p,45
binary_28p27__55.p,29
binary_16p2__18.p,7
binary_15p24__39.p,25
binary_5p20__25.p,19
binary_21p7__28.p,27
binary_15m10__150.p,209
binary_19m24__456.p,235
binary_26p11__37.p,29
binary_9p8__17.p,19
binary_5p21__26.p,25
binary_1m25__25.p,1
binary_24m13__312.p,143
binary_29m22__638.p,315
binary_7p10__17.p,25
binary_24m22__528.p,197
binary_6p21__27.p,19
binary_12m28__336.p,119
binary_10m25__250.p,151
binary_18p11__29.p,25
binary_19m5__95.p,127
binary_18m10__180.p,149
binary_1p5__6.p,7
binary_24m14__336.p,135
binary_2m18__36.p,31
binary_1p19__20.p,11
binary_11p22__33.p,37
binary_10p26__36.p,31
binary_25m10__250.p,157
binary_4p3__7.p,7
binary_7m5__35.p,121
binary_7m3__21.p,57
binary_27m2__54.p,35
binary_6p27__33.p,29
binary_22m26__572.p,243
binary_21m17__357.p,273
binary_18m11__198.p,211
binary_23m3__69.p,81
binary_22m22__484.p,313
binary_15m13__195.p,265
binary_27m15__405.p,387
binary_0p22__22.p,1
binary_2m20__40.p,31
binary_1p15__16.p,15
binary_28p6__34.p,21
binary_15p5__20.p,27
binary_29p11__40.p,39
binary_25m0__0.p,1
binary_4p25__29.p,15
binary_11p13__24.p,35
binary_4p18__22.p,15
binary_24m29__696.p,201
binary_0p10__10.p,1
binary_8p0__8.p,1
binary_15p15__30.p,35
binary_24m19__456.p,221
binary_20p4__24.p,17
binary_7m22__154.p,185
binary_16m7__112.p,109
binary_13m11__143.p,219
binary_18p3__21.p,11
binary_27p28__55.p,29
binary_18p15__33.p,33
binary_25m26__650.p,251
binary_12p5__17.p,17
binary_5m26__130.p,117
binary_23m13__299.p,293
binary_25p27__52.p,41
binary_26m18__468.p,211
binary_22p5__27.p,17
binary_16p11__27.p,19
binary_8m17__136.p,119
binary_14p22__36.p,37
binary_15m28__420.p,283
binary_25m24__600.p,191
binary_24m21__504.p,183
binary_27m23__621.p,515
binary_8m2__16.p,31
binary_9p2__11.p,7
binary_12p5__17.p,17
binary_24p0__24.p,1
binary_20m17__340.p,193
binary_23m12__276.p,195
binary_4p2__6.p,7
binary_29p9__38.p,29
binary_27p27__54.p,41
binary_4m10__40.p,63
binary_8p11__19.p,19
binary_25p8__33.p,23
binary_29m3__87.p,69
binary_15p11__26.p,35
binary_9p23__32.p,43
binary_29m14__406.p,223
binary_15m13__195.p,265
binary_9m7__63.p,125
binary_11p29__40.p,43
binary_2m16__32.p,31
binary_23m27__621.p,493
binary_4m0__0.p,1
binary_24p29__53.p,29
binary_3p17__20.p,19
binary_19m7__133.p,199
binary_24m9__216.p,133
binary_23m15__345.p,425
binary_7m27__189.p,205
binary_1p2__3.p,3
binary_12m23__276.p,183
binary_27m8__216.p,145
binary_8p18__26.p,21
binary_17m21__357.p,281
binary_14m28__392.p,179
binary_6m27__162.p,125
binary_2m28__56.p,31
binary_10m9__90.p,139
binary_12m8__96.p,99
binary_23p16__39.p,25
binary_11p24__35.p,25
binary_9p11__20.p,31
binary_16m7__112.p,109
binary_11p18__29.p,27
binary_27m29__783.p,433
binary_29m17__493.p,277
binary_1m27__27.p,1
binary_29p12__41.p,27
binary_20m28__560.p,181
binary_9m29__261.p,237
binary_20m9__180.p,147
binary_9m14__126.p,147
binary_22p9__31.p,19
binary_1p16__17.p,3
binary_4m21__84.p,77
binary_19p4__23.p,13
binary_25m26__650.p,251
binary_26m0__0.p,1
binary_24m14__336.p,135
binary_27m11__297.p,343
binary_5p28__33.p,23
binary_14p11__25.p,29
binary_17m17__289.p,243
binary_5m13__65.p,135
binary_20m12__240.p,113
binary_24m10__240.p,119
binary_15p2__17.p,15
binary_8p20__28.p,21
binary_9m2__18.p,35
binary_23m28__644.p,385
binary_23p24__47.p,25
binary_13m23__299.p,305
binary_25m2__50.p,35
binary_13m27__351.p,249
binary_22m27__594.p,371
binary_6p24__30.p,15
binary_20p12__32.p,27
binary_4p8__12.p,15
binary_2p7__9.p,13
binary_13p18__31.p,21
binary_8m18__144.p,109
binary_6p8__14.p,15
binary_23p13__36.p,39
binary_12p12__24.p,23
binary_20p5__25.p,17
binary_0m29__0.p,1
binary_6p5__11.p,13
binary_22m4__88.p,67
binary_10m28__280.p,139
binary_19p3__22.p,15
